Texto,Label Sobre Produto,Label Sobre Loja,Polaridade do review,Polaridade do review,Polaridade do review
Muito BOM,Product,,Good,,
Compatível com todos aparelhos next gen,Product,,Good,,
POR SATISFAÇÃO NO PREÇO E HONESTIDADE NO PRAZO DE ENTREGA.,,Store,Good,,
Bom,Product,,Good,,
"Muito Bom, entrega rápida.",Product,Store,Good,,
Comum nada a dizer sobre,,,Neutral,,
"Eu já conhecia, pois tenho um comprado numa loja.
O que faz a diferença para mim é o tipo de alça. Acho que no mostruário pela internet não mostra a parte das costas. 
Comprei dois de uma vez e senti dificuldade na opção pelas cores. Tentei marcar duas cores diferentes, mas ao clicar numa cor desmarcava a outra.
Fiquei satisfeita.",Product,Store,Good,Bad,Experience
"Eu achei maravilhosoooo, amei! Está na minha lista mensal de compras !",Product,,Good,,
"Os dois não são idênticos, entendo que possa haver variação no seu acabamento, mas um parece mais liso e o outro com mais relevos.",Product,,Neutral,,
"Excelente, pena que minha cachorrinha roeu a parte da frente logo nos 1ºs dias....
",Product,,Good,,
"O produto e bom , comparando com os preços ",Product,Store,Good,,
Muito bom meu sobrinho adorou.Fresco e envolvente. Fundo cítrico.,Product,,Good,,
A entrega foi rápida e chegou tudo certinho. ,,Store,Good,,
Entrega rapida produto otimo recomendo,Product,Store,Good,,
O produto é ótimo.,Product,,Good,,
muito bom este produto achei,Product,,Good,,
"Muito bom, não deixa a pele oleosa, hidrata super bem.",Product,,Good,,
Uma das melhores. O material é mais encorpado e é bem estilosa com esse gatinho.,Product,,Good,,
Calça com nº40 muito diferente (menor) do que o normal!,Product,,Bad,,
"Otimo produto, porem cheio de pontas de linhas.. o acabamento final precisa ser melhorado.",Product,,Good,Bad,
produto de qualidade. Caimento prefeito. ,Product,,Good,,
"Muito bom o produto. Poderiam ser mais baratos, sem promoção alguma não vale a pena.",Product,Store,Good ,Bad,
 Até é ótima. Imagem perfeita.,Product,,Good ,,
"Achei ótimo muito confortável, com certeza comprarei novamente recomendo.",Product,,Good ,,
"Produto bom e ficou com a aparência ótima, apenas o tapete do lado do motorista é um pouco maior que o espaço real dele.",Product,,Good ,,
Amei! É linda demais! Veste super bem.,Product,,Good ,,
Lindo demais me apaixonei,Product,,Good ,,
"nao sei, enviaram o shampoo errado fiquei com o outro para evitar transtornos maiores
",,Store,Bad,,
Eu achei a saia linda,Product,,Good,,
"Ja tinha um desse modelo,e gostava bastante,comprei mais dois e não me arrependo,vento forte,silencioso,e preço bom!",Product,Store,Good,,
Adorei o produto!,Product,,Good,,
Excelente...,Product,,Good,,
Muito bom produto loja super rápida na entrega é muito atenciosa com o cliente!!,Product,Store,Good,,
"O farol enche de água, e o plugue veio com defeito",Product,,Bad,,
"Cumpre sua função muito bem, sem deixar a desejar.",Product,,Good,,
produto de ótima qualidade,Product,,Good,,
Eu achei o produto excelente. Ele hidrata mesmo e a sua pele fica muito macia.,Product,,Good,,
muito bom produto,Product,,Good,,
Gostei do modelo e cores,Product,,Good,,
Recomendo pra todos apaixonado de ouvir um som com qualidade.,Product,,Good,,
Gostoso e boa fixaçao,Product,,Good,,
Limpa sem ressecar e ainda dá brilho!,Product,,Good,,
Tudo ok,Product,,Good,,
Ainda em teste. Meio leve. Mas nada a reclamar,Product,,Good,,
AMEI... ATENDE MEUS OBJETIVOS!,Product,,Good,,
"Achei o produto péssimo, não cumpriu nem de longe o que prometeu. Meu cabelo é liso com ondas e muito frizz... esperava que pelo menos os frizz diminuísse.Escolhi o produto por resenhas no youtube e comentários no instagram. A marca Yenzah é muito boa, já utilizei outros produtos e gostei. Quanto à loja Época Cosméticos, só tenho elogios até agora quanto ao atendimento e entrega. ",Product,Store,Bad,Good,Experience
"Cabo com trançado que o torna resistente, muito bem acabado e barato.",Product,,Good,,
muito bom,Product,,Good,,
Define muito bem os cachos e os day afters ficam muito mais administraveis!,Product,,Good,,
Otimo produto. Qualidade e funcionalidade,Product,,Good,,
"A panela é exatamente como anunciada, a entrega foi dentro do prazo. Tudo ótimo. ",Product,Store,Good,,
"Gostei do produto atendeu minhas expectativas, a compra foi super tranquila, a entrega foi muito rápida Parabéns. A única observação que faria seria que antes de comprar a pessoa verificasse a vazão da água  na torneira pois o produto diminui essa vazão após instalado.",Product,Store,Good,,
"maravilhoso recuperou meu cabelo
amei o cheiro",Product,,Good,,
Poucas possibilidades de layout.,Product,,Bad,,
Ótima qualidade e entrega dentro do prazo. ,Product,Store,Good,,
A máscara é excelente. Confortável. Recomendo,Product,,Good,,
Muito bom! Cheirinho bom...,Product,,Good,,
otimo preço e produto,Product,Store,Good,,
"Não tem como dizer o que achei, pois o produto não foi entregue, tão pouco consegui contato para saber o que houve


    Em Terça-feira, 19 de Janeiro de 2016 12:11,  escreveu:


   
|  Auditado por:
    |
|   |
|   Olá, Leonardo.
 O que achou deste produto? Compartilhe sua opinião, ela será publicada na página do produto e ajudará outras pessoas com certeza. :)

 E lembre-se de que, quando for comprar novamente na loja, todas as opiniões publicadas lá são de clientes reais!
    |
|  Por favor, não responda a esse e-mail, avalie abaixo.  |
|
| Malbec Noir Des. Colônia, 100ml  |
|

   |
|       |    Clique abaixo na nota de 1 a 5 que você dá ao produto:   
|   |   |   |   |   |

     |

   |
|  |

 Se não desejar receber mais e-mails deste tipo clique aqui.",,Store,Bad,,
Superou minhas expectativas. Produto muito bom!,Product,,Good,,
"ótimo, entrega rápida e produto excelente.",Product,Store,Good,,
muito bom recomendo ,Product,,Good,,
"O Produto é bom.
Boa qualidade.
Porém é a segunda vez que eu compro essa mochila e não veio o adesivo da cachorro loko.
O motoboy que trabalha conosco é fissurado por esses adesivos.",Product,,Good,,
não me enviaram tambem,,Store,Bad,,
"Comprei pra utilizar no pós cirúrgico de mamoplastia de aumento. Aconselho o uso a partir de 2 meses após a cirurgia, o ideal é combinar com seu médico.

Muito confortável, material ótimo, super resistente! ",Product,,Good,Experience,
EU ACHEI MUITO BOA ESTA CAMISETA,Product,,Good,,
"o produto é de ótima qualidade, fácil instalação e a entrega foi muito rápida.",Product,Store,Good,,
Eu achei maravilhoso!! simples assim.,Product,,Good,,
"Entrega antes do prazo, mas, as lanternas vieram diferentes na cor, uma mais clara que a outra. Quase imperceptível.

Comprarei mais no site.",Product,Store,Good,,
esperava um recorte mais fino...,Product,,Bad,,
Produto bom.,Product,,Good,,
muito lindo e ótima qualidade. amei...,Product,,Good,,
"muito bom,valeu",Product,,Good,,
Sabonete em gel para o cabelo e corpo muito cheiroso com a mesma fragrancia do perfume,Product,,Good,,
"Amei o cheiro, fixação, embalagem, recomendo muito!",Product,,Good,,
Produto de boa qualidade e bom acabamento. Ainda não tive a oportunidade de usar na chuva mas a primeira impressão foi muito boa.,Product,,Good,,
"Acho que a base deixa um pouco a desejar no quesito cobertura, eu que uso corretivo colorido percebo que vc tem que passar bastante base para tampa-lo.",Product,,Bad,,
"Perfeito! Fiquei com preocupada em ter q trocar, porque vi algumas opiniões aqui e eu já tinha comprado o tamanho P. Mas ficou perfeito igual na foto, inclusive o tamanho. Tenho 1,69 e 61 Kg. Adorei e já fiz novas compras, estou aguardando ansiosa.",Product,,Good,,
"Poderia ser melhor. Ao dirigir o carro,  a parte superior fica enrugada.",Product,,Bad,,
"Um bom perfume, ganhei junto à compra de outro e minha mãe simplesmente adorou, fragância suave mas elegante.",Product,,Good,,
Bom,Product,,Good,,
Produto bom...gostei mt dessa pedaleiras....,Product,,Good,,
"Perfume marcante, maravilhoso ",Product,,Good,,
"O produto é bom, traz bastante conforte para o apoio dos pés. Não demonstrou ser frágil e possui borrachas na parte de apoio do chão que impedem que ele deslize. O único porém que faço é que ele não permite uma regulagem de ajuste fino de altura e ângulo, tal como no modelo mais caro da Kensington: ele possibilita apenas três alturas com os respectivos ângulos que se formam a cada altura ajustada.",Product,,Good,,
"Eu achei ótimo, muito bom aconselho.",Product,,Good,,
Muita bonita e muito confortável. Recomendo.,Product,,Good,,
ainda estou em fase de experimentação. Percebo que os produtos são bons sim. ,Product,,Good,,
"Atenderam minhas expectativas. Foi aniversário de criança, mas quem mais se divertiu usando foram os adultos. Ficou muito bonita a festa com os convidados mascarados.",Product,,Good,,
Adorei como todas que comprei ,Product,,Good,,
excelente,Product,,Good,,
"Muito bom, brinde!!!",Product,,Good,,
Bonito!,Product,,Good,,
"Transação tranquila e rápida, e preço bom",,Store,Good,,
Perfeito para o que eu precisava.,Product,,Good,,
TOP,Product,,Good,,
Mesa muito bonita. O preço foi determinante para a compra.,Product,Store,Good,,
"Produto muito bom, de alta qualidade.",Product,,Good,,
muito bom,Product,,Good,,
Produto de qualidade!,Product,,Good,,
Excelente qualidade e bem distribuído.,Product,,Good,,
nao gostei do parafuso do ajuste de altura...muito fino. e vende separado tive que pagar 2 fretes,Product,Store,Bad,,
Adorei!! Dá um toque em qualquer visual!!,Product,,Good,,
Base de excelente qualidade.,Product,,Good,,
"A compra foi recente por isso não tenho muito o que dizer, até hoje tem funcionado perfeitamente.",Product,,Good,,
Muito bom! ,Product,,Good,,
"Ótimo produto. Mas, os pés e a base poderiam ser metálicos; o sistema de ajuste de inclinação do encosto para costa poderia ser melhorado; poderia haver ajuste de altura do encosto para costa.",Product,,Good,Bad,
"Sim. Bota muito bem acabada e bonita. Recei a peça sem nenhum defeito.
Recomendo.",Product,,Good,,
"funciona certinho
prático",Product,,Good,,
Suave e me levou a minha juventude.,Product,,Good,,
"PRODUTO EXCELENTE!!!
PRODUTO BOM, REALMENTE CUMPRE O QUE PROMETE!",Product,,Good,,
"Camisa de excelente qualidade e linda
Pelo preço da promoção que paguei foi um ótimo negócio...
Já pelo preço normal não acho tão justo...
Mas o produto é ótimo!",Product,Store,Good,,
"Massa demais! Aprovado!
Comprei para cobrir alguns riscos que minha cadeira estava fazendo na parede e ficou melhor que eu imaginava!",Product,,Good,,
Amei deixa o cabelo super macio lindo e brilhoso,Product,,Good,,
"Super recomendo, a entrega foi rapida e o protudo foi de encontro com as minhas expectativas.",Product,Store,Good,,
Gostei do conceito inovador de shampoo sólido. Ele limpa delicadamente os cabelos. ,Product,,Good,,
Por engano.Produto não funciona conforme informado e desejado.Nao cumpre a finalidade de uso prometido.,Product,,Bad,,
"Sementes bem selecionadas, bem embalada.",Product,,Good,,
Bonito e por um preço razoável.,Product,Store,Good,,
"Perfeito, empresa séria recomendo a todos.",Product,Store,Good,,
Tem boa qualidade.,Product,,Good,,
Sem comentários. Maravilhoso!,Product,,Good,,
"Um livro motivador, para alargar as fronteiras, discernir a carreira proposta, com a ajuda do Espirito Santo.",Product,,Good,,
gostei.dentro do esperado.,Product,,Good,,
"Massa!
",Product,,Good,,
"Pq adoro esse tipo de calcinha, não marca, não aperta é realmente um produto ótimo!!!!! Super recomendo, serve para qualquer tipo de corpo..",Product,,Good,,
Muito bom. Compra fácil e chegou antes do previsto,Product,Store,Good,,
Muito bom,Product,,Good,,
"muito bom, textura perfeita, cor maravilhosa",Product,,Good,,
"Muito bom, mas as setas não encaixam ",Product,,Good,,
via site procurando,,,Neutral,,
Meu médico receitou e aprovei dá um ânimo.,Product,,Good,,
"Idem.  Caneta excelente
",Product,,Good,,
"Não comprem jogos dessa loja, antes pesquisem no RECLAME AQUI e vejam como o atendimento é um lixo e as contas sao banidas",,Store,Bad,Offensive,Contention
ótimo produto! Confortavel e de qualidade.,Product,,Good,,
"ótimo produto, superou minhas expectativas.",Product,,Good,,
um bom produto que poderia ser ainda melhor se o 'pente' de aplicação fosse com cerdas macias para não machucar tanto os olhos. Elas são beem duras.,Product,,Good,Bad,
linda linda tamem quero mais pecas,Product,,Good,,
"gosteii e´ que  espérava  e ummm bommm   protetor kk
",Product,,Good,,
"Fiquei muito satisfeito com a compra, produto de excelente qualidade! Obrigado!",Product,,Good,,
achei de difícil aplicação ,Product,,Bad,,
"Super fofa, adorei..",Product,,Good,,
Produto muito bom,Product,,Good,,
"pneus condizente com as espectativas, bom de carga e bom de lama.",Product,,Good,,
"Muito bom !
Um produto realmente útil e complementar ao excepcional aparelho S6 Edge+ .",Product,,Good,,
"Excelente máscara capilar!! Derrete o cabelo na hora, super hidrata e possui um cheiro bastante agradável!",Product,,Good,,
"Recebi o fogão e demorei 15 dias para abrir, pois eu estava com a função de mudança. Quando abri... não veio o suporte de uma boca (da maior - do centro). Será que a Lebes ou a Brastemp vão me ajudar? Socorro, preciso de ajuda urgente!!!
Att,
Rosa",,Store,Bad,,
Eu gostei demais do produto ,Product,,Good,,
muito bom,Product,,Good,,
" Esse perfume é muito gostoso, é deslumbrante.",Product,,Good,,
"Esperava que fosse mais macia
É confortável",Product,,Bad,,
Fiquei bem satisfeita com a qualidade das peças e a rapidez com que me foi entregue.,Product,Store,Good,,
Bom material com boa modelagem,Product,,Good,,
"A bota começou a comer meu calcanhar, devido a um problema de costura, deixando uma parte bem exposta e machucando. somente usando fita crepe ou band aid para evitar os machucados. Comprei 2 botas diferentes e tive problemas com as duas.",Product,,Bad,Dangerous,
"Produto muito bom, pois atendeu as minhas expectativas.",Product,,Good,,
Uma delícia.... :),Product,,Good,,
por ter atendido minhas espectativas,Product,,Good,,
Camiseta com a estampa mais legal que já fizeram!,Product,,Good,,
"Queixeira é confortável, mas deveria ter uma maior base de contato com a cabeça para não escorregar, pois costuma soltar da cabeça.",Product,,Good,Bad,
Produto de excelente qualidade!!!,Product,,Good,,
"Sincronização muito lenta, navegação sem precisão, atualização não funciona, enfim, uma péssima escolha!!",Product,,Bad,,
Correspondeu plenamente as expe,Product,,Good,,
"Produto muito bom, e preço excelente.
",Product,,Good,,
Pequeno demais.,Product,,Bad,,
"Excelente, está entre os melhores.",Product,,Good,,
Amei o produto e chegou no prazo estabelecido. Com certeza voltarei a comprar o mesmo.,Product,Store,Good,,
"Conjunto lindo, tecido confortável... Atendeu as expectativas.",Product,,Good,,
nota 10 as camisas polo.,Product,,Good,,
Tudo certo!,Product,,Good,,
"Gostei bastante da estampa e qualidade, e principalmente pelo fato de ter abertura na frente que facilita amamentar!",Product,,Good,,
Muito prático e de ótima qualidade! Adorei!,Product,,Good,,
"não tivemos problemas, isso foi levado em  consideração,já que outros produtos diferenciados tivemos problemas. Agradecemos a responsabilidade e eficácia na entrega.",Product,Store,Good,,
Eu achei horrível . Não recomendo muito pouca proteção vaza tudo,Product,,Bad,,
Muito boa!,Product,,Good,,
excelente,Product,,Good,,
Belíssimo,Product,,Good,,
"Produto bom mas a embalagem é tubo e sai demais, logo que abri a primeira vez vazou muito.",Product,,Good,Bad,
Dentro do esperado,Product,,Good,,
Ficou lindo e superou minha expectativa adorei.,Product,,Good,,
"LOJA MENTIU QUE EU RECEBI O PRODUTO
NÃO RECEBI
TEREI QUE ENTRAR NA JUSTIÇA",,Store,Bad,Contention,
"Muito bom, ótimo atendimento, entrega  rápida e segura! Obrigada",Product,Store,Good,,
otimo preco e boa assistencia,,Store,Good,,
ATÉ O MOMENTO NÃO TIVE PROBLEMAS COM O PRODUTO - TAPETE CARPETE BORDADO PALIO G1 G2 G3 G4 1996 A 2012,Product,,Good,,
Um otimo produto. Eu recomendo,Product,,Good,,
Sem palavras para descrever!! meus cabelos agradecem!!,Product,,Good,,
"Gostei muito, estou usando durante o dia. Fixa bem e fica um cheirinho bom bastante tempo. É muito bom!",Product,,Good,,
"achei linda, bem delicada e confortável  ",Product,,Good,,
"Qualidade, beleza e conforto!",Product,,Good,,
Ótimo,Product,,Good,,
"Uma delícia, minha mulher adorou",Product,,Good,,
gostei do produto,Product,,Good,,
"E ótimo uso há muito tempo.. é minha marca, o meu cheiro.Super recomendo.",Product,,Good,,
pq a gola veio invertida... entrei em contato com vocês e nao tive resposta.,Product,Store,Bad,,
TUDO OK COM ESSE OBRIGADO.,Product,,Good,,
Gostei muito do produto recomendo a todos ,Product,,Good,,
Muito lindo amei... ,Product,,Good,,
Chegou mais rapido do que o esperado. ,,Store,Good,,
Atende as minhas necessidades e agora não me deixa na mão. Agora tenho bateria em todo lugar pra curtir toda ocasião!,Product,,Good,,
maravilhoso,Product,,Good,,
"preço, qualidade e agilidade na entrega",,Store,Good,,
"A estampa é linda, porém a numeração é bastante pequena. Para quem não tem muito busto parece que achata, desvaloriza.",Product,,Good,Bad,
Surpreendente e emocionante! Um presente pra nunca ser esquecido!,Product,,Good,,
bom o produto,Product,,Good,,
"Achei boa a relação custo/beneficio e fiquei satisfeito com o produto, o cordão que estica a rede é que poderia melhorar.",Product,Store,Good,,
"Era o que esperava, de boa qualidade e confortável",Product,,Good,,
Chegou antes do prazo de entrega,,Store,Good,,
"Eu achei muito bom, o gosto é uma delicia ! Só é ruim sujar o dedo para passar ! ",Product,,Good,,
"Excelente produto, além da Bololô ter feito a entrega no tempo combinado.",Product,Store,Good,,
Poderia ser melhor acabado.,Product,,Bad,,
AINDA NÃO LI,Product,,Neutral,,
"Lindo, entrega rapida",Product,,Good,,
muito bom fiquei satisfeitíssima pois minhas colegas já usam e assim me indicaram e usei ficou do jeito que foi orientada pelo site  ,Product,,Good,,
gostei muito,Product,,Good,,
Produto cumpre o que se propõe a fazer.,Product,,Good,,
"Bota linda e numeração ok. Só faltou uma palmilha, a sola ser direto na ""madeira"" não é muito confortável, e imagino eu, diminui o tempo de vida da bota.",Product,,Good,Bad,
Ótimo livro bem detalhado é como o professor tivesse falando comigo,Product,,Good,,
Compra rápida e produto de ótima qualidade.,Product,Store,Good,,
Maravilhosooooooo,Product,,Good,,
"Deixas os cabelos super macios, hidratação e nutrição perfeita, além de muito cheiroso!",Product,,Good,,
"UMA BOA JAQUETA,COM UM ÓTIMO CUSTO BENEFICIO",Product,,Good,,
Muito linda comprei as duas cores. Mas tem um plastico colado  em baixo que acho que tem que tirar pois escorrega. e sai um pouco da tinta no pé,Product,,Good,Bad,
"Excelente produto.
Recomendo com certeza,muito simples de usar.",Product,Store,Good,,
"Todos os anos compro minhas etiquetas com vocês.
Material de qualidade e entrega rápida.",Product,,Good,,
"Sim, muito bom, do jeito que queria",Product,,Good,,
Maravilhoso! Amo os produtos da clinique! Esse limpa bem a pele e deixa uma sensação ótima de limpeza sem causar ressecamento. ,Product,,Good,,
DE BOA QUALIDADE! CHEGOU RAPIDO.BOM ATENDIMENTO,Product,Store,Good,,
"Ótimo!A troca foi em conta,mesmo que me enviassem o número 40 ficaria grande e me enviaram o 39.Calçou muito bem.
Parabéns,indico a outros com certeza!
Obrigado.
Att:Jesus.",Product,,Good,,
estou vendo resultado,Product,,Good,,
otimas,Product,,Good,,
"Quando chegou não achei que tem tanta a cara de um cachorro. Pelo computador parecia mais....
",Product,,Bad,,
muito bom,Product,,Good,,
site super confiável,,Store,Good,,
"O produto é muito bom. Excelente espaço interno, bem acabado, iluminação excelente. Unico ponto negativo fica por conta da grade traseira(radiador) que fica exposta, poderia ser embuntida como em outros refrigeradores.",Product,,Good,Bad,
OTIMO,Product,,Good,,
"EU ACHEI QUE A FRAGRÂNCIA DEVERIA SER MENOS FORTE, UMA DOSAGEM MENOR DE ESSÊNCIA DEIXARIA A COLÔNIA MAIS SUAVE. ",Product,,Bad,,
"Muito bom, som excelente, indico!",Product,,Good,,
"O pano de copa é um pouco mais fino do que eu esperava, mas é muito bonito. Valeu a pena ser comprado.",Product,,Good,,
"Bauleto excepcional, recomendo a todos!",Product,,Good,,
bom,Product,,Good,,
"é bom, podia ser melhor pela potencia que tem.",Product,,Good,Bad,
Produto bom mas tamanho pequeno ,Product,,Good,Bad,
"a camiseta é igualzinha a imagem do site, cores bem vivas e nao desbotam, exatamente como na descrição. entrega do antes do prazo.",Product,Store,Good,,
"Gostei do produto, contudo, a numeração é maior. ",Product,,Good,Bad,
"Eu achei excelente o produto, e o atendimento foi ótimo.",Product,Store,Good,,
Produto de qualidade.Gostei muito. obrigada.,Product,,Good,,
Estou gostando muito  e está me ajudando a chegar no meio objetivo ,Product,,Good,,
"Mais um produto nota 10 da Senscience. Adorei. Uso uma vez por semana pra substituir o condicionador. O cabelo fica diferenciado, mais macio e mais sedoso. ",Product,,Good,,
ótimo,Product,,Good,,
Excelentes profissionais,,Store,Good,,
